DATE,CMT2,CMT10,EINF
2010-01-01,,,2.8
2010-01-04,1.09,3.85,
2010-01-05,1.01,3.77,
2010-01-06,1.01,3.85,
2010-01-07,1.03,3.85,
2010-01-08,0.96,3.83,
2010-01-11,0.95,3.85,
2010-01-12,0.92,3.74,
2010-01-13,0.97,3.8,
2010-01-14,0.94,3.76,
2010-01-15,0.89,3.7,
2010-01-18,,,
2010-01-19,0.93,3.73,
2010-01-20,0.92,3.68,
2010-01-21,0.87,3.62,
2010-01-22,0.84,3.62,
2010-01-25,0.86,3.66,
2010-01-26,0.87,3.65,
2010-01-27,0.9,3.66,
2010-01-28,0.87,3.68,
2010-01-29,0.82,3.63,
2010-02-01,0.86,3.68,2.7
2010-02-02,0.86,3.67,
2010-02-03,0.88,3.73,
2010-02-04,0.8,3.62,
2010-02-05,0.77,3.59,
2010-02-08,0.79,3.62,
2010-02-09,0.84,3.67,
2010-02-10,0.91,3.72,
2010-02-11,0.91,3.73,
2010-02-12,0.84,3.69,
2010-02-15,,,
2010-02-16,0.82,3.66,
2010-02-17,0.87,3.74,
2010-02-18,0.9,3.79,
2010-02-19,0.95,3.78,
2010-02-22,0.91,3.8,
2010-02-23,0.87,3.69,
2010-02-24,0.87,3.7,
2010-02-25,0.82,3.64,
2010-02-26,0.81,3.61,
2010-03-01,0.8,3.61,2.7
2010-03-02,0.8,3.62,
2010-03-03,0.82,3.63,
2010-03-04,0.86,3.61,
2010-03-05,0.91,3.69,
2010-03-08,0.9,3.72,
2010-03-09,0.89,3.71,
2010-03-10,0.92,3.73,
2010-03-11,0.97,3.73,
2010-03-12,0.97,3.71,
2010-03-15,0.96,3.71,
2010-03-16,0.93,3.66,
2010-03-17,0.95,3.65,
2010-03-18,0.98,3.68,
2010-03-19,1.02,3.7,
2010-03-22,1.01,3.67,
2010-03-23,1.02,3.69,
2010-03-24,1.08,3.84,
2010-03-25,1.1,3.91,
2010-03-26,1.04,3.86,
2010-03-29,1.04,3.88,
2010-03-30,1.06,3.88,
2010-03-31,1.02,3.84,
2010-04-01,1.05,3.89,2.9
2010-04-02,1.11,3.96,
2010-04-05,1.18,4.01,
2010-04-06,1.14,3.98,
