Org City,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,840495,0,0,41168,28954,0,0,228,0,0,21845,48985,0,0,58369,0,0,0,0,0,0,0,13105,164093,0,0,0,0,322,0,0,16352,0,659,27372,0,0,77617,0,0,0,0,0,40616,74959,0,0,1046192,0,0,0
AL,0,2387,495,31826,0,320,24,86957,0,171538,701363,0,0,0,122878,657,225,287,59178,0,91515,0,64569,3485,34413,1163,0,233837,0,34,0,7396,0,46548,22763,38613,643,0,13102,0,509,0,211143,590000,178,211,0,52,36,0,59
AR,0,695,815,11664,12540,366,0,370,0,2479,226333,0,103,0,205360,348,71,47,646,176,39670,173,24390,16226,63681,460,0,85027,134,0,0,24233,0,50042,13002,53485,1284,30,28,0,474,0,147702,741876,0,37,0,0,0,0,0
AZ,37345,36077,14169,662526,4106505,108790,522,209002,0,414692,691291,274797,76396,157,1095207,155910,26344,53,43023,119129,224508,0,398130,592828,462238,129,52155,435708,44875,182063,44683,323610,502623,1188536,310744,272766,160583,458982,552254,44785,955,39289,192424,2317560,630048,0,0,712974,170490,0,253
CA,32680,2854,11709,4075768,13954969,63913,277,1563038,0,1048359,2160281,2401440,9389,1150,3522987,30455,9019,0,100876,1067204,254225,196,621598,1252545,589525,266,20332,543562,8349,3018,0,1090012,357096,4283585,2829433,496354,31491,1905289,839173,0,1440,8235,383493,5552908,1635899,1371,0,3312948,141367,0,1479
CO,0,155,0,107827,60411,497,0,0,0,0,56665,0,50,0,98528,20,282,0,543,0,191,0,0,48781,0,0,0,41,0,51,0,1610,281,48782,0,0,171,0,0,0,0,0,129,335092,81061,0,0,138,66,0,0
CT,0,301,0,0,0,0,12,216277,0,384366,248853,0,0,0,324274,2957,0,0,142,3456,276942,0,142012,103395,10527,0,0,233220,0,0,0,42223,0,43719,36234,133137,256,0,215964,474,221,21,34508,129883,0,97,12,0,156,148,0
DC,285,86965,476,202826,1573876,625,204091,3704,0,2118221,1310955,0,12902,0,1258225,172651,43,8113,157750,804588,1253,105245,431947,329095,347489,7630,123,810064,654,42316,94738,190098,33647,225401,1387513,431993,17644,47189,494648,157124,254124,718,283158,1177661,106934,118712,96887,237413,150873,60842,592
DE,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,172,0,0,108,139,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0
FL,0,174839,3437,398140,1028965,1390,387096,2122809,120,3559328,6338636,0,34398,0,2403500,446332,533,25305,462162,1316669,1550806,54933,1546022,698887,755101,49247,0,2662160,12891,1301,232805,2551455,67042,482463,4900567,1267348,2636,0,2553749,393046,136772,14135,1193589,4075132,184028,116529,29059,147362,277390,7566,530
GA,21001,680999,226529,689419,2173455,56527,241114,1301715,0,6300645,1174247,114368,50118,0,1356897,505411,163082,112091,810190,723417,688447,75382,891362,656709,902596,344977,13462,2044601,169,82037,22120,724949,135474,713767,2088279,1348290,191728,162393,1373725,74565,817039,8650,937853,2566893,501382,549527,19419,432942,433568,53360,14688
HI,49878,0,0,275604,2401450,0,0,0,0,0,117211,3503096,0,0,120651,0,0,0,204,0,0,0,0,81160,0,0,0,2367,0,0,0,76295,0,258455,0,0,210,243967,0,0,0,0,0,386010,134279,0,0,494319,0,0,0
IA,0,131,25,75655,9609,243,0,12264,0,33296,46936,0,11199,0,351950,694,119,86,49,0,0,88,93371,206408,28083,0,0,0,255,630,0,27,0,63135,11065,51214,354,124,524,0,26,106,44723,183350,4921,0,0,69,25354,0,188
ID,181,0,0,133,347,0,0,0,0,0,0,0,0,855,88,0,0,0,116,0,0,0,0,2511,0,0,525,0,0,0,0,0,0,15454,0,0,120,25,0,0,0,287,0,241,141353,0,0,51445,0,0,299
IL,58423,123777,207559,1116371,3486326,99308,342626,1227956,0,2425493,1360094,158554,365095,175,448795,572810,107119,39682,222157,850837,542069,66078,1245948,1309467,1566727,49799,38736,964830,44976,494674,210302,620712,167939,1166240,2334738,1447133,252716,303438,1494762,225974,155915,72465,720857,2194650,362494,182251,66096,766867,603753,20180,51487
IN,164,527,500,162837,27384,64,2641,175396,0,440395,499408,0,654,0,605230,1291,290,155,293,54659,103469,0,307194,183798,101684,1605,0,211932,110,519,55,65216,0,167182,119043,257529,598,104,103886,199,317,92,77948,352017,27983,402,0,285,30363,52,390
KS,0,363,45,26394,8824,491,0,151,0,154,159244,0,84,0,106850,169,12996,0,216,0,0,0,6057,25001,29832,634,0,264,0,85,0,0,118,34252,0,73,1499,0,0,0,0,0,41770,173673,99,0,0,25,0,0,152
KY,0,413,106,45,128,0,0,6442,0,25721,111029,0,89,0,40191,38,0,0,443,0,66,0,38842,0,0,205,0,67084,0,40,0,3142,0,0,6910,63009,154,0,33,0,394,95,41376,57836,0,77,0,0,270,0,0
LA,0,65071,808,43666,91896,400,146,156161,0,454156,806214,0,230,116,217930,291,190,490,2701,25317,48076,0,40700,25302,48574,930,130,173801,406,209,141,94721,149,103924,159261,48671,864,36,75636,250,329,117,337975,1892677,25050,346,0,442,240,164,0
MA,0,0,0,117007,1048299,638,500,842150,0,1332815,714869,0,118,152,839508,55899,165,0,25502,233,389955,30424,231420,225609,97520,0,0,592707,154,401,146,292875,0,127388,1143970,305289,1222,48147,442289,130,55621,0,56551,628790,100498,68101,4497,115472,151376,42,296
MD,0,92956,41662,227905,239483,925,274746,4333,0,1552881,696874,0,0,0,552159,103765,1,0,51036,390229,4879,84276,341901,137769,278914,48461,0,661137,0,34,326359,56260,66210,145186,662881,500620,41587,0,281092,348649,749,0,312653,757568,127278,109,46344,29343,95038,0,280
ME,0,0,194,0,651,0,101,107473,108,55393,75769,0,0,0,70509,101,163,0,0,31077,84226,148,82799,1737,3,100,0,40224,0,0,159,88801,0,0,275992,12883,0,0,148788,40,264,0,178,0,0,310,12,0,58,0,0
MI,13141,64036,26460,396527,591465,187,143256,432320,140,1567606,871864,0,92711,0,1296262,309100,6319,38269,41697,234166,336253,81783,1322737,752749,339128,20636,2560,501898,41,66148,97942,250690,301,386619,1019104,470754,55029,19096,653286,107481,130962,4200,434483,757855,172084,91119,38571,183601,583531,13838,319
MN,172506,3838,16043,600446,1266217,48161,103099,330201,0,688551,658265,84452,212399,2179,1303105,176428,24428,0,27800,219684,132474,1941,719604,363415,333497,397,241051,293430,389397,175681,5485,200841,80864,446764,466523,332786,58191,240241,363915,16930,973,209202,303210,696528,245725,13410,0,641423,827589,124,12837
MO,218,32119,65641,467660,584489,1773,10232,348673,0,751206,887929,0,27325,0,1564246,107784,28567,23,49898,95498,262740,0,342988,336049,332480,2410,145,298889,124,107287,10,162171,94441,405572,267045,311167,228437,42182,236951,34,647,36,345394,1702795,159091,22296,0,154558,221254,0,244
MS,0,1414,774,93,0,0,0,9483,95,52703,343290,0,0,0,42662,1794,590,204,1666,152,51624,0,20005,394,2076,228,0,75868,0,81,103,35,0,0,0,4375,411,96,0,0,3105,0,128843,393856,0,586,0,0,646,0,0
MT,0,0,0,53041,20593,519,0,178,0,0,12836,0,132,171,39508,0,0,0,130,0,0,0,2415,247653,146,0,73843,137,198,0,0,0,0,84796,105,0,0,1062,0,0,0,532,656,0,363556,0,0,210580,101,0,781
NC,0,239445,88837,441662,511630,237,239014,817267,0,2677338,2089071,1778,182,0,938630,198675,651,69449,174121,603777,659592,37891,499016,283829,295805,76445,136,2155316,0,62,55022,679196,861,351203,1592394,767725,1049,12634,1368967,187031,572324,21,766803,1359506,21210,395401,82,78495,57659,57583,0
ND,1,0,134,45332,8370,185,0,623,0,13294,0,0,460,45,44930,108,0,0,421,0,0,0,0,388428,124,0,109,0,6742,124,140,132,143,59935,0,162,0,0,0,50,0,167,0,256,14539,0,0,603,189,0,1718
NE,0,188,50,179640,2578,393,0,40151,0,249,81187,0,277,0,496104,135,201,0,249,0,140,0,63637,173498,112566,91,0,66,35,1336,0,34771,37,118420,9809,33985,674,192,519,0,0,105,67049,286275,26660,553,0,540,59772,0,413
NH,0,0,0,41920,0,0,0,100167,0,233339,22050,0,0,0,211036,0,112,0,131,186,331459,513,100563,5414,119,0,0,59006,0,0,86,57603,0,42211,21826,48084,0,0,296284,129,0,0,0,0,0,90,48,0,59,0,0
NJ,46247,7934,24676,314292,1033595,2287,39668,197635,0,2566693,734580,74781,389,0,661802,69070,664,3405,94072,296333,49942,92396,250454,203459,163967,0,143,681956,110,33581,54999,276,683,358779,313331,370239,26715,91579,244385,70354,156445,41,144887,1007658,92203,55554,64255,277030,76572,535,0
NM,0,131,510,517956,361551,640,0,34768,0,74707,135948,0,0,52,174529,126,147,0,43,0,64290,0,181,83130,86558,0,7,207,0,35,0,623,17004,190313,312,570,672,37064,104,0,131,0,605,962798,114024,0,0,64798,0,0,165
NV,614,38911,49796,1207139,4350996,49052,43688,222889,0,484879,713069,260363,64254,15119,1120711,167637,34532,24,106112,123859,148584,0,384012,448318,409975,282,83233,361233,58948,125284,42118,349692,183053,810856,677891,422282,87813,403480,516710,43005,705,45555,181699,1888349,724752,3,0,866802,195982,0,13293
NY,32674,22073,14647,307975,2777501,784,32506,1402023,0,4944100,2077059,0,12103,0,2371285,128431,382,7995,164156,1143168,673321,276132,1030811,478783,269368,0,267,1579249,63,10716,22909,315108,269,670012,1932743,937233,2545,72535,951686,28890,199376,0,250490,1100062,258512,223285,238849,258773,231136,6455,182
OH,0,41729,48842,267956,495984,1246,131363,439262,0,1259873,1345163,0,47056,0,1476693,251610,1158,55548,47045,307188,492206,12117,482488,341476,318393,4149,1,770329,120,33659,48982,367403,824,419726,930281,469202,50793,339,724488,82251,89933,4688,366007,1011498,210778,73894,15712,118784,219130,25467,0
OK,0,674,624,162505,29353,1889,0,17449,0,2188,189400,0,396,114,247351,338,1337,0,772,0,41848,0,51152,53431,239266,398,0,308,0,494,0,27637,397,91182,832,54365,1890,28,555,0,36,30,95311,1469297,47909,94,0,611,246,100,123
OR,71288,0,45,457002,1912718,1267,0,52006,0,0,166696,245340,172,325,303363,434,0,103,0,46971,0,0,19288,233384,43675,97,619,12907,0,411,0,100132,38387,402725,75949,594,443,446840,23715,0,148,259,536,410749,374015,0,0,786128,131,0,0
PA,0,12612,902,543730,766624,489,216163,494064,0,2555771,1369773,0,852,0,1532504,104602,1583,92,75562,447920,257080,142169,653579,357078,239883,0,132,1350689,32,428,306552,250546,686,511048,972951,734127,1792,22163,1252767,321131,142938,50,267908,1119948,92130,127038,83050,114597,128758,342,462
